name,pronouns,email,cohort,ability,graduated,dropped_out,courses_completed,has_allergy
Mohammad Al-Said (he/him),he/him,mohammadasaid@londonschoolofcriticalthinking@school.com,4,0.41,False,False,2,False
Lucas Ng (he/him),he/him,lucasng@londonschoolofcriticalthinking@school.com,4,0.59,True,False,2,False
Sara Dos Santos (she/her),she/her,saradosantos@londonschoolofcriticalthinking@school.com,4,0.8,True,False,2,False
Lukas Müller (he/him),he/him,lukasmuller@londonschoolofcriticalthinking@school.com,4,0.55,True,False,2,False
Yara Gómez (she/her),she/her,yaragomez@londonschoolofcriticalthinking@school.com,4,0.86,True,False,2,False
Aisha Khan (she/her),she/her,aishakhan@londonschoolofcriticalthinking@school.com,4,0.87,True,False,2,False
Juan Rodriguez (he/him),he/him,juanrodriguez@londonschoolofcriticalthinking@school.com,4,0.46,True,False,2,False
Yara El-Sayed (she/they),she/they,yarael-sayed@londonschoolofcriticalthinking@school.com,4,0.49,True,False,2,False
Lukas Schmidt (he/him),he/him,lukasschmidt@londonschoolofcriticalthinking@school.com,4,0.77,True,False,2,False
Winnie Li (she/her),she/her,winnieli@londonschoolofcriticalthinking@school.com,4,0.36,False,True,1,False
Oliver Gonzalez (he/him),he/him,olivergonzalez@londonschoolofcriticalthinking@school.com,4,0.84,True,False,2,False
Mariam Nguyen (she/her),she/her,mariamnguyen@londonschoolofcriticalthinking@school.com,4,0.71,True,False,2,False
Leonardo Dos Santos (he/him),he/him,leonardodossantos@londonschoolofcriticalthinking@school.com,4,0.34,False,False,2,False
Anais Patel (she/her),she/her,anaispatel@londonschoolofcriticalthinking@school.com,4,0.41,True,False,2,False
Hassan Ahmed (he/him),he/him,hassanahmed@londonschoolofcriticalthinking@school.com,4,0.56,True,False,2,False
Amina Khan (she/her),she/her,aminakhan@londonschoolofcriticalthinking@school.com,4,0.42,True,False,2,False
Sophia Li (she/her),she/her,sophiali@londonschoolofcriticalthinking@school.com,4,0.44,False,False,2,False
Mohammed Ben Salem (he/him),he/him,mohammedbensalem@londonschoolofcriticalthinking@school.com,4,0.33,False,False,2,False
Isabella Garcia (she/her),she/her,isabellagarcia@londonschoolofcriticalthinking@school.com,4,0.51,True,False,2,False
Lukas O'Sullivan (he/him),he/him,lukasosullivan@londonschoolofcriticalthinking@school.com,4,0.33,False,False,2,False
Nina Wang (she/her),she/her,ninawang@londonschoolofcriticalthinking@school.com,4,0.62,True,False,2,False
Omar El-Khateeb (he/him),he/him,omar el-khatteeb@londonschoolofcriticalthinking@school.com,4,0.57,True,False,2,False
Sophie Diaz (she/her),she/her,sophiediaz@londonschoolofcriticalthinking@school.com,4,0.81,True,False,2,False
Yusuf Patel (he/him),he/him,yusufpatel@londonschoolofcriticalthinking@school.com,4,0.45,True,False,2,False
Zara Lee (she/her),she/her,zaralee@londonschoolofcriticalthinking@school.com,4,0.45,True,False,2,False
